,질문,답변
0,"질문
""지역화폐"" “지역화폐”의 의미?","답변
“지역화폐”는 특정 지역 또는 특정 집단 내에서 자생적으로 형성된 지급수단으로서 「영국 브리스톨시(市)의 ‘Bristol Pound’」와 같이 공동체 내의 거래 촉진 및 경제 활성화 등을 목적으로 통용되며, 법적으로 무제한 통용이나 구매력을 인정받는 법화가 아닙니다.
국내에서는 흔히 “지역화폐”라고 잘못 통칭되기도 하지만 지자체가 재정에 근거하여 발행한 지역사랑상품권은 지자체가 지역내 소비자에게 할인혜택을 주고 소상공인을 돕는 차원에서 표기 금액보다 할인하여 판매하는 것으로, 통상의 상품권에 해당하며 화폐가 아닙니다."
1,"질문
""지역화폐"" 지역사랑상품권의 법화(법정통화) 여부?","답변
『한국은행법』에 따르면 법화(法貨)는 한국은행이 발행한 한국은행권 및 주화만을 의미합니다. 따라서 한국은행 외의 자가 발행하는 지역사랑상품권은 ‘통화’, ‘화폐’ 등 명칭을 불문하고 법화가 아닙니다."
2,"질문
""지역화폐"" 한국은행은 지역사랑상품권을 교환해주는지?","답변
한국은행은 지역사랑상품권의 발행주체가 아니며 지역사랑상품권을 한국은행권 및 주화로 교환해주지 않습니다."
3,"질문
""지역화폐"" 지역사랑상품권의 발행주체 부도시 한국은행의 보상 여부?","답변
지역사랑상품권은 한국은행에서 발행한 법화(法貨)가 아니므로 발행주체의 부도시 한국은행은 이와 관련한 어떠한 보상도 하지 않습니다."
4,"질문
발권출납 현용주화 발행연도","답변
한국은행은 매년 화폐수급전망을 기초로 다음 연도에 필요한 화폐의 양을 한국조폐공사를 통해 제조하고 있습니다. 이에 따라 다음 연도에 특정 액면의 주화 수요가 있을 것으로 예상되더라도 이미 충분한 재고를 확보하였을 경우에는 새로 제조하지 않게 됩니다. 연도별 주화제조여부는 아래 표를 참고하시기 바랍니다.
   ""연도별 주화 제조발행현황"""
5,"질문
발권출납 화폐 위·변조사범의 처벌","답변
흔히들 국민경제 내에서 화폐의 유통은 우리 인체의 혈액순환에 비교되기도 합니다. 화폐를 위조 또는 변조하여 유통시키는 행위는 우리의 몸속에 감염된 혈액을 수혈하여 고귀한 생명을 앗아가는 것과 마찬가지로 건전한 신용사회 질서를 무너뜨리는 행위입니다. 이에 따라 우리나라는 법적으로 화폐 위조행위를 범죄행위로 다루고 있습니다.
  즉 화폐를 위조하거나 변조하여 사용하는 행위는『형법』(제207조 제1항) 에 의거 무기 또는 2년 이상의 징역에 처하도록 되어 있습니다.
  따라서 단순한 호기심이나 일시적인 실수로 컴퓨터 및 스캐너 등을 이용해 지폐를 위조 사용하다가 범죄자가 되는 불행한 일이 발생되지 않도록 청소년을 포함한 국민들이 법에 대해 다소의 지식을 갖는 것도 필요할 것입니다."
6,"질문
발권출납 우리나라 화폐의 재질","답변
우리나라 은행권의 재질은 면입니다. 세계적으로 면 소재를 많이 사용하는 것은 촉감이 부드럽고 질기고 강할 뿐만 아니라 때가 잘 타지 않아 쉽게 더러워지지 않으며 잉크가 잘 스며들어 인쇄 상태가 우수하기 때문입니다.

한편, 현재 우리나라 주화의 소재는 구리 · 니켈 합금(100원화, 500원화), 구리 · 니켈 ·  아연 합금(50원화), 구리 · 아연 합금(5원화), 구리씌움 알루미늄(10원화) 및 알루미늄(1원화)입니다."
7,"질문
발권출납 특정연도 화폐 구입 여부","답변
한국은행에서는 화폐를 제조연도별로 관리하지 않으므로 특정연도 표시의 주화를 교환하시거나 구입하시기는 곤란합니다. 필요하시다면 이를 전문적으로 취급하는 가까운 화폐수집상을 이용하시기 바랍니다."
8,"질문
발권출납 기념주화의 시가","답변
한국은행에서는 한국은행이 발행한 기념주화를 모두 기념주화의 해당 액면금액으로만 교환해 드리고 있습니다. 다만 기념주화는 특수한 기념품으로 취급되기도 하므로 시중에서 거래되는 시가를 알고 싶으시면 이를 전문적으로 취급하는 가까운 화폐수집상에 문의하시기 바랍니다."
9,"질문
통화정책 지급준비제도","답변
지급준비제도란 금융기관이 수취한 예금 등 금전채무에 대하여 일정비율을 중앙은행에 예치하거나 시재금으로 보유하도록 의무화한 제도를 말합니다. 원래 지급준비제도는 예금자를 보호하기 위해서 고안되었으나 오늘날에는 중앙은행의 통화신용정책 수단으로 활용되고 있습니다.
  즉, 중앙은행이 시중유동성이 과다하다고 판단하여 지급준비율을 인상하는 경우 금융기관은 더 많은 자금을 중앙은행에 예치하거나 시재금으로 보유하여야 하기 때문에 통화의 신용창조능력을 축소시키고 나아가 통화량을 줄이는 효과가 발생하게 됩니다. 반대로 지급준비율을 인하하는 경우에는 통화량을 늘리는 효과가 나타나게 됩니다.
  현재 지급준비금 적립대상 채무의 범위에는 예금채무와 그 밖에 대통령령으로 정하는 채무(「한국은행법 시행령」 제12조의2 참고)가 포함됩니다. 2018년 2월 현재 한국은행은 예금채무에 대해서만 지급준비금을 부과하고 있으며 예금채무에 대한 지급준비율의 최저율은 다음과 같이 예금채무의 종류별로 다르게 정해져 있습니다.

      ● 장기주택마련저축, 재형저축 : 0% 
      ● 정기예금, 정기적금, 상호부금, 주택부금, 양도성예금증서 : 2% 
      ● 기타예금 : 7%"
