,title,link
0,2024년 2/4분기 예금취급기관 산업별 대출금,https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10086857&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201264&oldMenuNo=201263
1,2024년 7월 국제수지(잠정),https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10086860&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201264&oldMenuNo=201263
2,2024년 2/4분기 국민소득(잠정),https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10086830&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201264&oldMenuNo=201263
3,"[보도자료] 이창용 한국은행 총재, BIS 총재회의 참석",https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10086822&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201265&oldMenuNo=201263
4,2024년 8월말 외환보유액,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10086795&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201265&oldMenuNo=201263
5,"한국은행, 「MOEF-BOK-KDI-RBWC 국제컨퍼런스: 2024 Global Economy and Financial Stability」 공동 개최",https://www.bok.or.kr/portal/bbs/P0000559/view.do?nttId=10086829&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=200690&oldMenuNo=201263
6,2024년 전국민 금융이해력 조사 실시,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10086707&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201265&oldMenuNo=201263
7,2024년 7월 금융기관 가중평균금리,https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10086724&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201264&oldMenuNo=201263
8,"[보도자료] 한국은행·기획재정부, 인도네시아 중앙은행과 양국 간 현지통화 직거래(LCT)체제 출범",https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10086733&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201265&oldMenuNo=201263
9,[보도참고자료] 2024년 9월중 통화안정증권 발행 계획,https://www.bok.or.kr/portal/bbs/B0000502/view.do?nttId=10086696&searchCnd=1&searchKwd=&depth2=200038&depth3=201263&depth=201263&pageUnit=10&pageIndex=1&programType=newsData&menuNo=201265&oldMenuNo=201263
